Online ISBN,Author,Book Title,Series,Category,Publisher,Product Group,Core Subjects,Cambridge Core DOI/URL
9.78E+12,Skene/Thompson,The Sorting Society,,Professional and Individual Purchase,Cambridge University Press,Cambridge Books Online,"Science and Engineering, Life Sciences, Medicine, Genetics, Medical Law, Ethics and forensic Medicine",https://doi.org/10.1017/CBO9780511545573
9.78E+12,Kowalski,The Large Sieve and its Applications,Cambridge Tracts in Mathematics,Monographs,Cambridge University Press,Cambridge Books Online,"Science and Engineering, Mathematics, Recreational Mathematics, Number Theory",https://doi.org/10.1017/CBO9780511542947
9.78E+12,Liddle/Rowe,Adolescent Substance Abuse,,Professional and Individual Purchase,Cambridge University Press,Cambridge Books Online,"Medicine, Psychiatry, Psychiatry and Clinical Psychology, Pediatrics and Child Health",https://doi.org/10.1017/CBO9780511543968
9.78E+12,Humphreys,Modular Representations of Finite Groups of Lie Type,London Mathematical Society Lecture Note Series,Monographs,Cambridge University Press,Cambridge Books Online,"Science and Engineering, Mathematics, Recreational Mathematics, Algebra",https://doi.org/10.1017/CBO9780511525940
9.78E+12,Ehrhard et al,Linear Logic in Computer Science,London Mathematical Society Lecture Note Series,Monographs,Cambridge University Press,Cambridge Books Online,"Science and Engineering, Mathematics, Computer Science, Logic, Categories and Sets, Algorithmics, Complexity, Computer Algebra, Computational Geometry, Recreational Mathematics",https://doi.org/10.1017/CBO9780511550850
9.78E+12,Fink/Taylor,Catatonia,,Professional and Individual Purchase,Cambridge University Press,Cambridge Books Online,"Psychiatry, Psychiatry and Clinical Psychology",https://doi.org/10.1017/CBO9780511543777
9.78E+12,Kruuk/Brown,Hunter and Hunted,,Professional and Individual Purchase,Cambridge University Press,Cambridge Books Online,"Science and Engineering, Life Sciences, Ecology and Conservation, Animal Behaviour",https://doi.org/10.1017/CBO9780511614996
9.78E+12,Mantegna/Stanley,Introduction to Econophysics,,Professional and Individual Purchase,Cambridge University Press,Cambridge Books Online,"Science and Engineering, Social Sciences, Physics And Astronomy, Economics, Econophysics and Financial Physics, Econometrics and Mathematical Methods",https://doi.org/10.1017/CBO9780511755767
9.78E+12,Hunter,Maintaining Biodiversity in Forest Ecosystems,,Professional and Individual Purchase,Cambridge University Press,Cambridge Books Online,"Science and Engineering, Life Sciences, Ecology and Conservation",https://doi.org/10.1017/CBO9780511613029
9.78E+12,Scholl/Taylor,Galois Representations in Arithmetic Algebraic Geometry,London Mathematical Society Lecture Note Series,Monographs,Cambridge University Press,Cambridge Books Online,"Science and Engineering, Mathematics, Number Theory, Recreational Mathematics",https://doi.org/10.1017/CBO9780511662010
9.78E+12,Swash,Outcomes in Neurological and Neurosurgical Disorders,,Professional and Individual Purchase,Cambridge University Press,Cambridge Books Online,"Medicine, Neurology and Clinical Neuroscience, Anesthesia,  Intensive Care, Pain Management",https://doi.org/10.1017/CBO9780511526947
9.78E+12,Sachkov/Vatutin,Probabilistic Methods in Combinatorial Analysis,Encyclopedia of Mathematics and its Applications,Monographs,Cambridge University Press,Cambridge Books Online,"Science and Engineering, Mathematics, Recreational Mathematics, Discrete Mathematics Information Theory and Coding",https://doi.org/10.1017/CBO9780511666193
9.78E+12,Epple,Organizing Scientific Meetings,,Professional and Individual Purchase,Cambridge University Press,Cambridge Books Online,,https://doi.org/10.1017/CBO9780511623042
9.78E+12,Laumon/Waldspurger,Cohomology of Drinfeld Modular Varieties,Cambridge Studies in Advanced Mathematics,Monographs,Cambridge University Press,Cambridge Books Online,"Science and Engineering, Mathematics, Recreational Mathematics, Number Theory, Geometry and Topology",https://doi.org/10.1017/CBO9780511661969
9.78E+12,Noguera,Physics and Chemistry at Oxide Surfaces,,Monographs,Cambridge University Press,Cambridge Books Online,"Science and Engineering, Physics And Astronomy, Chemistry, Condensed Matter Physics, Nanoscience and Mesoscopic Physics, Physical Chemistry",https://doi.org/10.1017/CBO9780511524301
9.78E+12,Phelan et al,Emergency Mental Health Services in the Community,Studies in Social and Community Psychiatry,Professional and Individual Purchase,Cambridge University Press,Cambridge Books Online,"Psychiatry, Medicine, Psychiatry and Clinical Psychology, Emergency Medicine",https://doi.org/10.1017/CBO9780511570131
9.78E+12,Zuckerman/Hart,Extraterrestrials,,Trade Titles,Cambridge University Press,Cambridge Books Online,,https://doi.org/10.1017/CBO9780511564970
9.78E+12,Motwani/Raghavan,Randomized Algorithms,,Professional and Individual Purchase,Cambridge University Press,Cambridge Books Online,"Science and Engineering, Statistics and Probability, Computer Science, Optimization, OR and risk, Algorithmics, Complexity, Computer Algebra, Computational Geometry",https://doi.org/10.1017/CBO9780511814075
9.78E+12,Miller,Early Quantum Electrodynamics,,Professional and Individual Purchase,Cambridge University Press,Cambridge Books Online,"Science and Engineering, Physics And Astronomy, Theoretical Physics and Mathematical Physics, History, Philosophy and Foundations of  Physics",https://doi.org/10.1017/CBO9780511608223
9.78E+12,Scott-Ram,"Transformed Cladistics, Taxonomy and Evolution",,Monographs,Cambridge University Press,Cambridge Books Online,"Science and Engineering, Humanities, Life Sciences, Philosophy, Evolutionary Biology, Philosophy of Science",https://doi.org/10.1017/CBO9780511525759
9.78E+12,Cameron,Parallelisms of Complete Designs,London Mathematical Society Lecture Note Series,Monographs,Cambridge University Press,Cambridge Books Online,"Science and Engineering, Mathematics, Discrete Mathematics Information Theory and Coding, Recreational Mathematics",https://doi.org/10.1017/CBO9780511662102
9.78E+12,Lockyer,Studies in Spectrum Analysis,Cambridge Library Collection - Physical  Sciences,Historic,Cambridge University Press,Cambridge Library Collection,"Science and Engineering, Engineering, Physics And Astronomy, Engineering: General Interest, History, Philosophy and Foundations of  Physics",https://doi.org/10.1017/CBO9781139096997
